no,spctrCd,preferCnttgClscd,holdQy
1,S49801,15,51760
2,S63101,13,32183
3,S04201,12,19555
4,S31001,5,18700
5,S42601,1,16176
6,S49801,7,10284
7,S42501,1,10128
8,S42501,13,9997
9,S28201,15,9426
10,S37001,15,9370
11,S35801,15,9370
12,S32701,15,9101
13,S37801,15,9097
14,S59101,13,7920
15,S42501,12,7768
16,S49801,16,6720
17,S65001,12,5931
18,S47901,6,5370
19,S45701,1,5118
20,S35401,1,5052
21,S49801,4,4900
22,S43901,1,4872
23,S18101,1,4800
24,S43301,1,4762
25,S42501,7,4705
26,S10501,1,4414
27,S30501,1,4300
28,S40401,9,3560
29,S42501,5,3285
30,S13401,11,3200
