시,사업장,상세주소,대표자,전화번호,기부가 더 필요한 물품
경기 안산시 단원구,안산시광림푸드뱅크,경기도 안산시 단원구 예술1길 6,민경보,031-487-1377,
경북 경산시,경산시푸드뱅크,경상북도 경산시 경청로222길 79,김오기,053-802-1377,
전북 진안군,진안군기초푸드뱅크,전라북도 진안군 진안읍 진무로 975,유정,063-432-9005,
충북 괴산군,괴산군푸드뱅크,충청북도 괴산군 괴산읍 괴강로 15,최은묵,043-834-1377,
강원 정선군,정선군푸드뱅크,강원도 정선군 남면 무릉1로 56,최원재,033-592-4115,
강원 양구군,양구기초푸드뱅크,강원도 양구군 양구읍 양구새싹로 7-11,이한웅,033-482-1377,
경남 창원시 성산구,창원시기초푸드뱅크,경상남도 창원시 성산구 창이대로600번길 2,함영권,055-253-1377,
강원 평창군,평창군푸드뱅크,강원 평창군 평창읍,우강호,033-334-0117,
강원 철원군,철원군푸드뱅크,강원 철원군 동송읍 이평로,오남주,033-458-2999,
경기 이천시,이천시푸드뱅크,경기도 이천시 부발읍 신원로 18,윤병성,031-634-1377,
충북 보은군,보은군푸드뱅크,충청북도 보은군 보은읍 보청대로 1907,구왕회,043-544-1377,
강원 강릉시,강릉푸드뱅크,강원도 강릉시 종합운동장길 69,이재석,033-643-1377,
충북 청주시 상당구,청주시흥덕푸드뱅크,충북 청주시 흥덕구 운천동,유응모,043-267-1377,
충남 예산군,예산군기초푸드뱅크,충청남도 예산군 예산읍 벚꽃로 318,김성순,041-334-1377,
경기 파주시,파주시사랑나눔푸드뱅크,경기도 파주시 파주읍 봉서산로 138,김백현,031-949-1377,
서울 서대문구,서대문구푸드뱅크,서울 서대문구 연희동,이중명,304-1376,
전북 장수군,장수군기초푸드뱅크,전라북도 장수군 장수읍 시장로 27-9,주재훈,063-351-2792,
전북 순창군,순창군기초푸드뱅크,전라북도 순창군 순창읍 장류로 407-30,임예민,063-653-9120,
경기 양주시,양주기초푸드뱅크,경기도 양주시 광적면 가래비길 93,박영주,031-837-1377,
경기 동두천시,동두천천사푸드뱅크,경기도 동두천시 광암로6번길 2,이정숙,031-865-4577,
인천 서구,서구태화푸드뱅크,인천광역시 서구 심곡로124번길 10,이찬우,032-564-1377,
인천 남구,미추홀구기초푸드뱅크,인천광역시 미추홀구 매소홀로418번길 14-57,이승연,032-861-1377,
강원 횡성군,횡성군기초푸드뱅크,강원도 횡성군 횡성읍 어수로 46,이석원,033-342-1104,
강원 인제군,인제군기초푸드뱅크,강원도 인제군 인제읍 인제로199번길 10,김영자,033-463-1377,
강원 화천군,화천푸드뱅크,강원도 화천군 하남면 춘화로 3341,안귀환,033-442-1992,
강원 양양군,양양푸드뱅크,강원도 양양군 강현면 일출로 42,이성린,033-673-4848,
충북 음성군,음성군기초푸드뱅크,충청북도 음성군 음성읍 중앙로40번길 9-1,이건용,043-873-1377,
전북 완주군,완주군기초푸드뱅크,전라북도 완주군 삼례읍 별산농원길 20,김진왕,063-232-1377,
천안시 충남,천안서부푸드뱅크,충청남도 천안시 동남구 태조산길 13-31,문용식,041-554-3572,
충북 진천군,진천군기초푸드뱅크,충청북도 진천군 진천읍 상산로 42,유열,043-533-1377,
울산 남구,남구나눔푸드뱅크,울산광역시 남구 봉월로50번길 45(신정동),정근두,052-257-1377,
광주 북구,두암기초푸드뱅크,광주광역시 북구 삼정로 7,이영길,062-266-8185,
경기 파주시,파주시희망나눔푸드뱅크,경기도 파주시 교하로 914,최명성,031-945-3054,
서울 강남구,강남푸드뱅크마켓센터,서울 강남구 개포동,김종민,02-554-1377,
경기 평택시,평택시송탄기초푸드뱅크,경기도 평택시 점촌로32번길 53,이대영,031-662-2677,
충남 부여군,부여나눔푸드뱅크,충청남도 부여군 규암면 합송서로 128-3,강민용,041-832-0811,
충남 서천군,서천군좋은친구푸드뱅크,충청남도 서천군 서천읍 군청로 37,조순희,041-951-9444,
대전 서구,대전행복나눔무지개푸드마켓1호점,대전광역시 서구 계룡로219번길 17,최주환,042-488-1370,
대전 동구,대전행복나눔무지개푸드마켓2호점,대전광역시 동구 동대전로 102-1,고철영,042-633-1377,
인천 강화군,강화푸드마켓,인천광역시 강화군 강화읍 향나무길22번길 12,주성식,032-934-0808,
경남 김해시,김해시푸드마켓,경상남도 김해시 김해대로 2232,김희년,055-328-1377,
충북 청주시 상당구,청주시푸드마켓,충북 청주시 상당구 서문동,유응모,043-222-9171,
충남 서천군,서천군좋은친구푸드마켓,충청남도 서천군 서천읍 군청로 37,조순희,041-951-9444,
인천 동구,동구푸드마켓1호점,인천 동구 송림동,임석기,032-773-2377,
충북 제천시,제천시푸드마켓,충청북도 제천시 동명로 50,양순경,043-647-1377,
전북 정읍시,정읍시기초푸드뱅크,전라북도 정읍시 수성2로 13-18,최정미,063-533-1916,
전북 남원시,남원시기초푸드뱅크,전북 남원시 노암동 275번지 노암주공아파트단지내,강정아,063-632-5252,
전북 김제시,김제시기초푸드뱅크,전라북도 김제시 금성로 93,권영세,063-543-1377,
전북 임실군,임실군기초푸드뱅크,전북 임실군 관촌면 방현리,서승원,063-643-1377,
전북 고창군,고창군기초푸드뱅크,전라북도 고창군 모양성로 116-13 고창행복원,박지환,063-561-2350,
전남 무안군,전남광역푸드뱅크,전라남도 무안군 삼향읍 오룡3길 22,노진영,061-283-1477,
전남 목포시,예향참맛푸드뱅크,전라남도 목포시 해안로173번길 34,박수영,061-242-8980,
전남 여수시,문수기초푸드뱅크,전라남도 여수시 여문2로 11-10,임봉춘,061-652-2010,
전남 여수시,여수시쌍봉푸드뱅크,전라남도 여수시 학동서4길 58-20,김종진,061-682-1477,
전남 순천시,순천시푸드뱅크,전라남도 순천시 저전길 84,윤동성,061-741-3062,
전남 광양시,광양시푸드뱅크,전라남도 광양시 광양읍 인덕로 977,윤지영,061-762-9894,
전남 곡성군,곡성군푸드뱅크,전남 곡성군 곡성읍 읍내19길,박병준,061-363-2171,
전남 구례군,구례군푸드뱅크,전남 구례군 구례읍 의료원길 7-4,손근배,061-783-1378,
전남 고흥군,고흥군푸드뱅크,전라남도 고흥군 고흥읍 신계학림길 39,김경수,061-832-2500,
