센터코드,센터코드명
S00101,전국푸드뱅크
S00201,서울시광역푸드뱅크
S00301,영등포사랑나눔푸드뱅크
S00401,성동희망푸드뱅크
S00501,종로구푸드뱅크
S00601,동대문구푸드뱅크
S00701,중랑구푸드뱅크
S00801,강북구푸드뱅크
S00901,도봉구푸드뱅크
S01001,노원구월계푸드뱅크
S01101,노원구평화푸드뱅크
S01201,은평구푸드뱅크
S01301,강서구푸드뱅크
S01401,구로희망푸드뱅크
S01501,금천구푸드뱅크
S01601,양천구푸드뱅크
S01701,관악구푸드뱅크
S01801,서초구푸드뱅크
S01901,송파구푸드뱅크
S02001,강동구기초푸드뱅크
S02101,성북구푸드뱅크
S02201,동작기초푸드뱅크
S02301,마포행복나눔기초푸드뱅크
S02401,용산구푸드뱅크
S02501,부산시광역푸드뱅크
S02601,중구푸드뱅크
S02701,서구푸드뱅크
S02801,동구푸드뱅크
S02901,영도구푸드뱅크
S03001,부산진구푸드뱅크
S03101,동래구푸드뱅크
S03201,남구푸드뱅크
S03301,북구푸드뱅크
S03401,해운대기초푸드뱅크
S03501,사하구푸드뱅크
S03601,금정구푸드뱅크
S03701,강서구푸드뱅크
S03801,연제구푸드뱅크
S03901,수영구푸드뱅크
S04001,사상구푸드뱅크
S04101,기장군푸드뱅크
S04201,대구시광역푸드뱅크
S04301,달서구본동푸드뱅크
S04401,달서구성서푸드뱅크
S04501,동구동촌푸드뱅크
S04601,동구베다니푸드뱅크
S04701,북구선린푸드뱅크
S04801,북구산격푸드뱅크
S04901,서구푸드뱅크
S05001,수성구지산푸드뱅크
S05101,수성구청곡푸드뱅크
S05201,수성구애활원푸드뱅크
S05301,중구푸드뱅크
S05401,달성군푸드뱅크
S05501,인천광역시기부식품등지원센터
S05601,동구푸드뱅크
S05701,남동구푸드뱅크
S05801,계양구푸드뱅크
S05901,서구푸드뱅크
S06001,부평구푸드뱅크
S06101,연수구푸드뱅크
S06201,중구푸드뱅크
S06301,강화군푸드뱅크
S06401,광주광역시푸드뱅크
S06501,동구푸드뱅크
S06601,서구푸드뱅크
S06701,남구기초푸드뱅크
S06801,북구푸드뱅크
S06901,송광푸드뱅크
S07001,대전광역푸드뱅크
S07101,동구기초푸드뱅크
S07201,중구푸드뱅크
S07301,대전서구기초푸드뱅크
S07401,유성구푸드뱅크
S07501,대덕구푸드뱅크
S07601,울산광역푸드뱅크
S07701,중구푸드뱅크
S07801,남구푸드뱅크
S07901,동구푸드뱅크
S08001,북구푸드뱅크
S08101,울주푸드뱅크
S08201,경기도광역푸드뱅크
S08202,경기광역기부식품등지원센터북부물류창고
S08203,경기광역기부식품등지원센터남부물류창고
S08301,수원시푸드뱅크
S08401,성남기초푸드뱅크
S08501,성남시하사함푸드뱅크
S08701,성남시청솔푸드뱅크
S08801,의정부시푸드뱅크
S08901,안양시푸드뱅크
S09001,부천기초푸드뱅크
S09101,광명시푸드뱅크
S09201,평택푸드뱅크
S09301,안산샬롬푸드뱅크
S09501,고양시해냄푸드뱅크
S09601,고양시흰돌기초푸드뱅크
S09701,고양시문촌9푸드뱅크
S09801,고양시문촌7푸드뱅크
S09901,고양시열두푸드뱅크
S10001,과천시푸드뱅크
S10101,오산시푸드뱅크
S10201,시흥시목감푸드뱅크
S10301,군포기초푸드뱅크
S10401,의왕시푸드뱅크
S10501,하남시푸드뱅크
S10601,김포(기초)푸드뱅크
S10701,광주시푸드뱅크
S10801,포천푸드뱅크
S10901,양평군푸드뱅크
S11001,화성시행복나눔푸드뱅크
S11101,여주기초푸드뱅크
S11201,안성시푸드뱅크
S11301,구리시푸드뱅크
S11401,남양주시푸드뱅크
S11501,강원도광역푸드뱅크
S11601,춘천시푸드뱅크
S11701,원주시푸드뱅크
S11702,원주시푸드나눔센터
S11801,동해시기초푸드뱅크
S11901,태백푸드뱅크
S12001,속초기초푸드뱅크
S12101,삼척시푸드뱅크
S12201,홍천군기초푸드뱅크
S12301,영월군푸드뱅크
S12401,충북광역푸드뱅크
S12501,청주시상당푸드뱅크
S12601,충주시푸드뱅크
S12701,제천기초푸드뱅크
S12801,옥천군푸드뱅크
S12901,증평군푸드뱅크
S13001,충남광역푸드뱅크
S13101,천안기초푸드뱅크
S13201,보령시푸드뱅크
S13301,서산시기초푸드뱅크
S13401,아산시기초푸드뱅크
S13501,논산사랑푸드뱅크
