기부물품중분류코드	기부물품중분류명	기부물품중분류코드	기부물품중분류코드명
01010000	조미료	03050000	애완용품
01020000	유제품	03990000	기타일상용품
01030000	축산가공식품 	04010000	주방용품
01040000	수산가공식품	04020000	청소/욕실용품
01050000	대용식기타	04030000	세탁용품
01060000	통조림/병	04040000	생활용품
01080000	냉동식품	04050000	침실용품
01090000	절임/발효식품	04060000	실내인테리어용품
01100000	어육/연식품류	04880000	가정용품세트류
01110000	분말류	04990000	기타가정용품
01120000	즉석/편의식품	05010000	의약품
01140000	유아식품	05020000	의료용품
01150000	건강식품	06010000	문구/사무용품
01160000	과자류	06020000	완구
01170000	음료/주류	06030000	서적
01170000	음료류	06040000	악기
01180000	농산물가공식품	06050000	음반/비디오
01810000	급식류	06990000	기타 문화용품
01820000	유가공품	07010000	가전
01830000	도시락류	07020000	가구
01880000	가공식품세트류	07030000	자동차용품
01950000	대용식(빵)	07040000	사진/광학용품
01990000	기타가공식품	07990000	기타 내구소비재
02010000	농산물	09010000	의류
02020000	축산물	09020000	패션잡화
02030000	수산물	09030000	신발
02820000	축산물(냉동)	09050000	언더웨어/양말
02830000	수산물(냉동)	09880000	의류잡화세트
02880000	신선식품세트류	09990000	기타의류/잡화
02990000	기타신선식품	10010000	구기 스포츠용품
03010000	위생용품	10020000	시즌스포츠용품
03020000	일용잡화	10030000	헬스용품
03030000	화장품	10040000	레저스포츠용품
03040000	DIY용품	99990000	기타

