"","stdrYm","cntrbtrSeccd","cntrCo","cntrbtrCo"
"1","201601","01","1","1"
"2","201601","01","1","1"
"3","201601","01","4","1"
"4","201601","01","1","1"
"5","201601","01","1","1"
"6","201601","01","1","1"
"7","201601","01","1","1"
"8","201601","01","1","1"
"9","201601","01","16","1"
"10","201601","01","1","1"
"11","201601","01","1","1"
"12","201601","01","1","1"
"13","201601","01","1","1"
"14","201601","01","4","1"
"15","201601","01","1","1"
"16","201601","01","3","1"
"17","201601","01","3","1"
"18","201601","01","1","1"
"19","201601","01","7","1"
"20","201601","01","1","1"
"21","201601","01","1","1"
"22","201601","01","1","1"
"23","201601","02","1","1"
"24","201601","01","5","1"
"25","201601","03","3","2"
"26","201601","02","1","1"
"27","201601","01","1","1"
"28","201601","01","1","1"
"29","201601","01","1","1"
"30","201601","01","8","1"
"31","201601","01","1","1"
"32","201601","01","9","1"
"33","201601","01","1","1"
"34","201601","01","1","1"
"35","201601","01","2","1"
"36","201601","01","16","1"
"37","201601","03","79","4"
"38","201601","03","19","1"
"39","201601","02","15","1"
"40","201601","02","15","1"
"41","201601","02","20","1"
"42","201601","02","20","1"
"43","201601","02","20","1"
"44","201601","02","20","1"
"45","201601","02","20","1"
"46","201601","02","20","1"
"47","201601","02","15","1"
"48","201601","02","20","1"
"49","201601","02","1","1"
"50","201601","02","20","1"
"51","201601","02","20","1"
"52","201601","02","19","1"
"53","201601","02","20","1"
"54","201601","02","20","1"
"55","201601","02","12","1"
"56","201601","02","9","1"
"57","201601","02","20","1"
"58","201601","02","20","1"
"59","201601","02","20","1"
"60","201601","02","19","1"
"61","201601","02","20","1"
"62","201601","02","8","1"
"63","201601","02","20","1"
"64","201601","02","20","1"
"65","201601","02","20","1"
"66","201601","02","2","1"
"67","201601","01","1","1"
"68","201601","01","1","1"
"69","201601","01","20","1"
"70","201601","01","15","1"
"71","201601","01","24","1"
"72","201601","01","12","1"
"73","201601","01","21","1"
"74","201601","01","1","1"
"75","201601","01","2","1"
"76","201601","01","18","1"
"77","201601","01","3","1"
"78","201601","01","4","1"
"79","201601","01","28","1"
"80","201601","01","8","1"
"81","201601","01","24","1"
"82","201601","01","26","1"
"83","201601","01","2","1"
"84","201601","01","15","1"
"85","201601","01","3","1"
"86","201601","01","14","1"
"87","201601","01","25","1"
"88","201601","01","4","1"
"89","201601","01","25","1"
"90","201601","01","20","1"
"91","201601","01","2","1"
"92","201601","01","3","1"
"93","201601","01","28","1"
"94","201601","01","1","1"
"95","201601","01","5","1"
"96","201601","01","3","1"
"97","201601","01","10","1"
"98","201601","01","23","1"
"99","201601","01","24","1"
"100","201601","01","2","1"
"101","201601","01","1","1"
"102","201601","01","9","1"
"103","201601","01","17","1"
"104","201601","01","1","1"
"105","201601","01","20","1"
"106","201601","01","238","1"
"107","201601","03","1","1"
"108","201601","03","7","2"
"109","201601","02","304","1"
"110","201601","02","18","1"
"111","201601","02","202","1"
"112","201601","02","13","1"
"113","201601","02","1","1"
"114","201601","02","117","1"
"115","201601","02","8","1"
"116","201601","02","20","1"
"117","201601","02","51","1"
"118","201601","01","4","1"
"119","201601","01","57","1"
"120","201601","01","107","1"
"121","201601","01","54","1"
"122","201601","01","95","1"
"123","201601","01","36","1"
"124","201601","01","172","1"
"125","201601","01","40","1"
"126","201601","01","48","1"
"127","201601","01","101","1"
"128","201601","01","85","1"
"129","201601","01","74","1"
"130","201601","01","46","1"
"131","201601","01","133","1"
"132","201601","01","7","1"
"133","201601","01","83","1"
"134","201601","01","24","1"
"135","201601","01","87","1"
"136","201601","01","541","1"
"137","201601","01","6","1"
"138","201601","01","37","1"
"139","201601","01","6","1"
"140","201601","01","12","1"
"141","201601","01","1","1"
"142","201601","01","13","1"
"143","201601","01","21","1"
"144","201601","01","10","1"
"145","201601","01","14","1"
"146","201601","01","7","1"
"147","201601","01","14","1"
"148","201601","01","1","1"
"149","201601","01","13","1"
"150","201601","01","1","1"
"151","201601","01","10","1"
"152","201601","01","9","1"
"153","201601","01","1","1"
"154","201601","01","19","1"
"155","201601","01","12","1"
"156","201601","01","17","1"
"157","201601","01","27","1"
"158","201601","01","19","1"
"159","201601","01","5","1"
"160","201601","01","14","1"
"161","201601","01","4","1"
"162","201601","01","15","1"
"163","201601","01","32","1"
"164","201601","01","11","1"
"165","201601","01","20","1"
"166","201601","01","1","1"
"167","201601","02","1","1"
"168","201601","02","30","1"
"169","201601","02","18","1"
"170","201601","02","30","1"
"171","201601","02","4","1"
"172","201601","01","1","1"
