통합시군구코드	통합시군구명	통합시군구코드	통합시군구명
01000000	중앙	10000700	화천군 
02000001	종로구	10000800	양구군 
02000002	중구	10000900	인제군 
02000003	용산구	10001000	고성군 
02000004	성동구	10001100	양양군 
02000005	광진구	10010000	춘천시 
02000006	동대문구	10020000	원주시 
02000007	중랑구	10030000	강릉시 
02000008	성북구	10040000	동해시 
02000009	강북구	10050000	태백시 
02000010	도봉구	10060000	속초시 
02000011	노원구	10070000	삼척시 
02000012	은평구	11000100	보은군 
02000013	서대문구	11000200	옥천군 
02000014	마포구	11000300	영동군 
02000015	양천구	11000400	증평군 
02000016	강서구	11000500	진천군 
02000017	구로구	11000600	괴산군 
02000018	금천구	11000700	음성군 
02000019	영등포구	11000800	단양군 
02000020	동작구	11010001	청주시 상당구
02000021	관악구	11010003	청주시 흥덕구
02000022	서초구	11010004	청주시 청원구
02000023	강남구	11020000	충주시 
02000024	송파구	11030000	제천시 
02000025	강동구	12000100	금산군 
03000001	중구	12000200	부여군 
03000002	서구	12000300	서천군 
03000003	동구	12000400	청양군 
03000004	영도구	12000500	홍성군 
03000005	부산진구	12000600	예산군 
03000006	동래구	12000700	태안군 
03000007	남구	12010000	천안시 
03000008	북구	12010001	천안시 동남구
03000009	해운대구	12020000	공주시 
03000010	사하구	12030000	보령시 
03000011	금정구	12040000	아산시 
03000012	강서구	12050000	서산시 
03000013	연제구	12060000	논산시 
03000014	수영구	12070000	계룡시 
03000015	사상구	12080000	당진시 
03000100	기장군 	13000100	완주군 
04000001	중구	13000200	진안군 
04000002	동구	13000300	무주군 
04000004	남구	13000400	장수군 
04000005	북구	13000500	임실군 
04000006	수성구	13000600	순창군 
04000007	달서구	13000700	고창군 
04000100	달성군 	13000800	부안군 
05000001	중구	13010001	전주시 완산구
05000002	동구	13010002	전주시 덕진구
05000003	남구	13020000	군산시 
05000004	연수구	13030000	익산시 
05000005	남동구	13040000	정읍시 
05000006	부평구	13050000	남원시 
05000007	계양구	13060000	김제시 
05000008	서구	14000100	담양군 
05000100	강화군 	14000200	곡성군 
06000001	동구	14000300	구례군 
06000002	서구	14000400	고흥군 
06000003	남구	14000500	보성군 
06000004	북구	14000600	화순군 
06000005	광산구	14000700	장흥군 
07000001	동구	14000800	강진군 
07000002	중구	14000900	해남군 
07000003	서구	14001000	영암군 
07000004	유성구	14001100	무안군 
07000005	대덕구	14001200	함평군 
08000001	중구	14001300	영광군 
08000002	남구	14001400	장성군 
08000003	동구	14001500	완도군 
08000004	북구	14001600	진도군 
08000100	울주군 	14001700	신안군 
09000100	연천군 	14010000	목포시 
09000200	가평군 	14020000	여수시 
09000300	양평군 	14030000	순천시 
09010001	수원시 장안구	14040000	나주시 
09010002	수원시 권선구	14050000	광양시 
09010003	수원시 팔달구	15000200	의성군 
09010004	수원시 영통구	15000500	영덕군 
09020001	성남시 수정구	15000600	청도군 
09020002	성남시 중원구	15000800	성주군 
09030000	의정부시 	15000900	칠곡군 
09040001	안양시 만안구	15001200	울진군 
09040002	안양시 동안구	15010001	포항시 남구
09050001	부천시 원미구	15010002	포항시 북구
09050002	부천시 소사구	15020000	경주시 
09060000	광명시 	15030000	김천시 
09070000	평택시 	15040000	안동시 
09080000	동두천시 	15050000	구미시 
09090002	안산시 단원구	15060000	영주시 
09100001	고양시 덕양구	15070000	영천시 
09100002	고양시 일산동구	15080000	상주시 
09100003	고양시 일산서구	15090000	문경시 
09120000	구리시 	15100000	경산시 
09130000	남양주시 	16000200	함안군 
09140000	오산시 	16000300	창녕군 
09150000	시흥시 	16000400	고성군 
09160000	군포시 	16000500	남해군 
09170000	의왕시 	16000600	하동군 
09180000	하남시 	16000700	산청군 
09190001	용인시 처인구	16000800	함양군 
09190002	용인시 기흥구	16000900	거창군 
09200000	파주시 	16001000	합천군 
09210000	이천시 	16010001	창원시 의창구
09220000	안성시 	16010004	창원시 마산회원구
09230000	김포시 	16010005	창원시 진해구
09240000	화성시 	16020000	진주시 
09250000	광주시 	16030000	통영시 
09260000	양주시 	16040000	사천시 
09270000	포천시 	16050000	김해시 
09280000	여주시 	16060000	밀양시 
10000100	홍천군 	16070000	거제시 
10000200	횡성군 	16080000	양산시 
10000300	영월군 	17010000	제주시 
10000400	평창군 	17020000	서귀포시 
10000500	정선군 	20010000	세종시 
10000600	철원군 		
